.
shear 	sheared 	sheared / shorn#[ʃɪə(r)]#xén lông (cừu)
shed 	shed 	shed#[ʃed]#rơi, rụng
shine 	shined / shone 	shined / shone#[ʃaɪn]#chiếu sáng
shit 	shit / shat / shitted 	shit / shat / shitted#[ʃɪt]#đi ỉa
shoe 	shoed / shod 	shoed / shod#[ʃuː]#đi giày (cho ai)
shoot 	shot 	shot#[ʃuːt]#bắn
show 	showed 	shown / showed#[ʃəʊ]#cho xem
shrink 	shrank / shrunk 	shrunk#[ʃrɪŋk]#co rút
shrive 	shrived / shrove 	shriven#[ʃraɪv]#nghe xưng tội
shut 	shut 	shut#[ʃʌt]#đóng lại
sing 	sang 	sung#[sɪŋ]#ca hát
sink 	sank / sunk 	sunk#[sɪŋk]#chìm, lặn
sit 	sat 	sat#[sɪt]#ngồi
slay 	slew / slayed 	slain / slayed#[sleɪ]#sát hại, giết hại
sleep 	slept 	slept#[sliːp]#ngủ
slide 	slid 	slid#[slaɪd]#trượt, lướt
sling 	slung 	slung#[slɪŋ]#ném mạnh
slink 	slinked / slunk 	slinked / slunk#[slɪŋk]#lẻn đi
slit 	slit 	slit#[slɪt]#chẻ, cắt, rọc, xé toạc
smell 	smelled / smelt 	smelled / smelt#[smel]#ngửi
smite 	smote 	smitten / smote#[smaɪt]#đập mạnh
sneak 	sneaked / snuck 	sneaked / snuck#[sniːk]#trốn, lén
sow 	sowed 	sown / sowed#[səʊ]#gieo, rải
speak 	spoke 	spoken#[spiːk]#nói
speed 	sped / speeded 	sped / speeded#[spiːd]#chạy vụt
spell 	spelled / spelt 	spelled / spelt#[spel]#đánh vần
spend 	spent 	spent#[spend]#tiêu xài, sử dụng
spill 	spilled / spilt 	spilled / spilt#[spɪl]#tràn đổ ra
spin 	spun 	spun#[spɪn]#quay sợi
spit 	spit / spat 	spit / spat#[spɪt]#khạc nhổ
split 	split 	split#[splɪt]#ghẻ, bửa, tách
spoil 	spoiled / spoilt 	spoiled / spoilt#[spɔɪl]#làm hỏng
spread 	spread 	spread#[spred]#lan truyền
spring 	sprang / sprung 	sprung#[sprɪŋ]#nhảy
stall feed 	stall fed 	stall fed#[]#vỗ béo bằng cỏ khô, nuôi bằng cỏ khô
stand 	stood 	stood#[stænd]#đứng
stave 	staved / stove 	staved / stove#[steɪv]#đâm thủng
steal 	stole 	stolen#[stiːl]#đánh cắp
stick 	stuck 	stuck#[stɪk]#ghim vào, đính
sting 	stung 	stung#[stɪŋ]#châm, chích, đốt
stink 	stunk / stank 	stunk#[stɪŋk]#bốc mùi hôi
strew 	strewed 	strewn / strewed#[struː]#rắc, rải
stride 	strode 	stridden#[straɪd]#bước sải
strike 	struck 	struck / stricken#[straɪk]#đánh đập
string 	strung 	strung#[strɪŋ]#gắn dây vào
strip 	stripped / stript 	stripped / stript#[strɪp]#cởi quần áo, phóng ra (đạn)
strive 	strove / strived 	striven / strived#[straɪv]#cố sức
sublet 	sublet 	sublet#[ˌsʌbˈlet]#cho thuê lại
sunburn 	sunburned / sunburnt 	sunburned / sunburnt#[ˈsʌnbɜːn]#bị cháy nắng
swear 	swore 	sworn#[sweə(r)]#tuyên thệ
sweat 	sweat / sweated 	sweat / sweated#[swet]#đổ mồ hôi, toát mồ hôi
sweep 	swept 	swept#[swiːp]#quét
swell 	swelled 	swollen / swelled#[swel]#phồng, sưng
swim 	swam 	swum#[swɪm]#bơi, lội
swing 	swung 	swung#[swɪŋ]#đong đưa, lắc
take 	took 	taken#[teɪk]#cầm, lấy
teach 	taught 	taught#[tiːtʃ]#dạy, giảng dạy
tear 	tore 	torn#[teər]#xé, rách
telecast 	telecast 	telecast#[ˈtelikɑːst]#phát đi bằng truyền hình
tell 	told 	told#[tel]#kể, bảo
think 	thought 	thought#[θɪŋk]#suy nghĩ
thrive 	thrived / throve 	thrived / thriven#[θraɪv]#thịnh vượng, phát đạt
throw 	threw 	thrown#[θrəʊ]#ném, liệng
thrust 	thrust 	thrust#[θrʌst]#thọc, nhấn
tread 	trod 	trodden / trod#[tred]#giẫm, đạp
troubleshoot 	troubleshot 	troubleshot#[ˈtrʌblʃuːt]#khắc phục sự cố
type cast 	type cast 	type cast#[]#định kiểu
typeset 	typeset 	typeset#[ˈtaɪpset]#sắp chữ
typewrite 	typewrote 	typewritten#[]#đánh máy
unbear 	unbore 	unborn / unborne#[]#nới, cởi dây cương (ngựa)
unbend 	unbent 	unbent#[ˌʌnˈbend]#làm thẳng lại
unbind 	unbound 	unbound#[ʌnˈbaɪnd]#mở, cởi, tháo
unbuild 	unbuilt 	unbuilt#[]#phá sạch, san phẳng
unclothe 	unclothed / unclad 	unclothed / unclad#[]#cởi áo, lột trần
underbid 	underbid 	underbid#[ˌʌndəˈbɪd]#bỏ thầu rẻ hơn
underbuy 	underbought 	underbought#[]#mua giá hạ, mua giá rẻ
undercut 	undercut 	undercut#[ˌʌndəˈkʌt]#ra giá rẻ hơn
underfeed 	underfed 	underfed#[]#cho thiếu ăn, cho ăn đói
undergo 	underwent 	undergone#[ˌʌndəˈɡəʊ]#kinh qua
underlay 	underlaid 	underlaid#[ˈʌndəleɪ]#đặt bên dưới, đỡ, trụ
underlie 	underlay 	underlain#[ˌʌndəˈlaɪ]#nằm dưới
underrun 	underran 	underrun#[]#chạy qua phía dưới
undersell 	undersold 	undersold#[ˌʌndəˈsel]#bán rẻ hơn
undershoot 	undershot 	undershot#[ˌʌndəˈʃuːt]#không tới địch (bắn súng)
underspend 	underspent 	underspent#[ˌʌndəˈspend]#chi tiêu ít hơn
understand 	understood 	understood#[ˌʌndəˈstænd]#hiểu
undertake 	undertook 	undertaken#[ˌʌndəˈteɪk]#đảm nhận
underwrite 	underwrote 	underwritten#[ˌʌndəˈraɪt]#bảo hiểm
undo 	undid 	undone#[ʌnˈduː]#tháo ra
undraw 	undrew 	undrawn#[]#kéo ra, mở ra
unfreeze 	unfroze 	unfrozen#[ˌʌnˈfriːz]#làm cho tan ra
unhang 	unhung 	unhung#[]#hạ xuống, bỏ xuống
unknit 	unknitted / unknit 	unknitted / unknit#[]#dãn ra, tháo ra
unlade 	unladed 	unladen / unladed#[]#dỡ hàng, giái phóng
unlay 	unlaid 	unlaid#[]#tháo (dây thừng) ra từng sợi
unlead 	unleaded 	unleaded#[]#bỏ thanh cỡ
unlearn 	unlearned / unlearnt 	unlearned / unlearnt#[ˌʌnˈlɜːn]#quên (những điều đã học)
unmake 	unmade 	unmade#[ʌnˈmeɪk]#phá đi
unreeve 	unreeved / unrove 	unreeved / unrove#[]#tháo rút (dây)
unsay 	unsaid 	unsaid#[]#chối, nuốt lời
unsew 	unsewed 	unsewn / unsewed#[]#tháo đường may
unstick 	unstuck 	unstuck#[]#bóc, gỡ
unstring 	unstrung 	unstrung#[]#tháo dây, cởi dây
unswear 	unswore 	unsworn#[]#thề ngược lại, hủy bỏ lời thề
unteach 	untaught 	untaught#[]#dạy điều ngược lại, quên điều đã được dạy
unweave 	unwove / unweaved 	unwoven / unweaved#[]#tháo ra
unwind 	unwound 	unwound#[ˌʌnˈwaɪnd]#tháo ra, trải ra
uphold 	upheld 	upheld#[ʌpˈhəʊld]#ủng hộ
upset 	upset 	upset#[ˌʌpˈset]#đánh đổ, lật đổ
vex 	vexed / vext 	vexed / vext#[veks]#làm bực mình, làm phật ý
wake 	woke / waked 	woken / waked#[weɪk]#thức giấc
waylay 	waylaid 	waylaid#[weɪˈleɪ]#mai phục
wear 	wore 	worn#[weə(r)]#mặc
weave 	wove / weaved 	woven / weaved#[wiːv]#dệt
wed 	wed / wedded 	wed / wedded#[wed]#kết hôn
weep 	wept 	wept#[wiːp]#khóc
wet 	wet / wetted 	wet / wetted#[wet]#làm ướt
whet 	whetted 	whetted#[wet]#mài (cho sắc)
win 	won 	won#[wɪn]#thắng, chiến thắng
wind 	wound 	wound#[wɪnd]#quấn
withdraw 	withdrew 	withdrawn#[wɪðˈdrɔː]#rút lui
withhold 	withheld 	withheld#[wɪðˈhəʊld]#từ khước
withstand 	withstood 	withstood#[wɪðˈstænd]#cầm cự
wring 	wrung 	wrung#[rɪŋ]#vặn, siết chặt
write 	wrote 	written#[raɪt]#viết
